num_mentions,nb_articles
75,1445
79,1397
112,1023
24,985
4,862
19,848
50,841
46,807
29,789
23,768
15,655
24,604
4,574
46,540
4,535
42,512
12,505
6,489
44,485
10,466
48,445
4,441
62,439
34,433
6,426
41,414
12,412
8,401
29,399
6,397
4,396
6,396
2,395
4,395
2,394
16,391
3,381
1,381
10,378
2,378
10,378
6,375
6,373
20,370
4,370
5,369
42,366
32,362
9,357
4,354
2,354
2,353
6,350
27,345
6,343
13,334
6,334
4,332
9,331
54,330
10,326
2,326
2,322
4,318
11,316
9,296
6,293
12,290
4,290
7,280
37,278
6,277
12,277
3,274
35,272
4,264
10,259
15,259
19,255
3,253
16,253
4,251
5,250
22,250
64,248
30,243
21,243
10,240
2,239
3,238
12,237
15,235
7,234
8,231
6,229
6,227
8,223
4,220
10,217
2,216
3,216
2,214
3,214
2,212
10,211
40,210
2,208
6,206
8,206
1,206
2,205
3,205
19,202
30,202
15,202
7,202
2,201
6,201
11,199
36,197
4,195
7,193
21,193
15,191
1,190
8,188
4,187
4,187
5,185
2,184
14,184
2,183
4,178
15,178
12,176
20,176
4,175
8,175
13,173
6,172
4,170
62,167
42,166
40,165
16,165
7,165
13,164
9,162
60,161
5,161
2,159
6,159
6,159
90,158
4,158
16,156
4,156
8,155
2,155
2,154
2,153
20,153
3,151
10,150
9,149
13,149
2,147
4,147
2,147
5,146
6,145
4,145
4,145
10,145
12,145
5,144
2,144
6,144
8,144
1,144
1,143
4,143
16,143
12,143
4,143
4,143
4,142
10,142
4,142
2,142
4,142
3,142
2,141
10,140
40,140
4,139
8,139
44,139
55,138
6,137
20,137
34,137
24,136
9,136
16,136
24,136
21,135
8,135
24,134
18,134
4,133
66,133
14,133
3,132
16,132
6,132
5,132
16,131
18,130
6,130
30,130
16,129
16,129
16,128
8,128
8,128
19,128
14,127
8,127
24,127
36,127
14,126
2,126
8,126
1,126
4,125
4,125
4,125
6,124
30,124
5,124
3,123
6,123
7,122
12,122
4,122
49,121
4,121
5,121
4,121
41,121
49,120
25,120
16,120
8,119
8,119
10,119
40,119
12,119
4,118
10,117
4,117
2,117
4,117
18,117
5,116
5,116
8,116
8,116
8,116
24,115
4,115
28,115
10,115
5,115
8,114
8,114
12,113
5,113
4,113
8,113
10,113
5,112
4,112
29,111
4,111
2,111
2,110
2,109
8,109
4,109
9,109
4,108
2,108
6,107
15,107
10,107
9,107
2,107
4,107
4,106
100,106
2,106
30,106
4,106
2,106
7,106
6,106
1,105
1,105
1,105
2,105
4,105
6,105
2,105
2,105
15,105
2,105
10,104
2,104
4,104
6,104
4,104
2,104
10,103
10,103
4,103
6,103
3,103
15,103
1,102
2,102
13,102
1,101
12,101
12,100
100,100
5,100
4,100
10,100
10,100
2,100
4,99
2,99
100,99
2,99
4,99
6,99
2,99
12,99
6,98
7,98
3,97
7,97
30,97
11,97
30,97
3,97
1,97
12,97
8,97
3,96
16,96
8,96
24,95
10,95
22,94
8,94
12,94
18,94
1,94
12,94
20,93
7,93
4,93
12,93
9,93
8,93
18,93
60,93
4,93
9,93
4,93
3,93
9,93
12,93
1,93
4,92
4,92
8,92
6,92
9,92
6,91
10,91
2,91
1,91
2,90
6,90
20,90
4,89
1,89
7,89
3,89
7,89
4,89
4,89
7,89
4,89
2,88
4,88
24,88
10,88
16,88
8,88
4,88
24,87
4,87
2,87
1,87
14,87
8,87
2,87
2,87
6,87
2,86
14,86
10,86
2,86
7,86
22,86
30,86
7,86
8,85
12,85
3,85
10,85
6,85
10,85
20,85
4,84
4,84
18,83
4,83
5,83
12,83
4,83
6,83
70,83
2,82
10,82
10,82
2,82
8,82
14,82
56,82
56,82
8,82
56,82
8,81
10,81
2,81
4,81
6,81
10,80
8,80
2,80
18,80
4,80
27,80
18,80
28,80
2,80
6,80
6,79
12,79
10,79
5,79
2,79
10,79
14,79
4,78
7,77
2,77
1,77
3,77
10,77
7,77
17,77
4,76
2,76
30,75
24,75
4,75
9,75
6,75
10,75
4,75
2,75
18,74
1,74
4,74
30,74
4,74
12,73
2,73
4,73
130,73
2,73
12,73
5,73
9,72
10,72
9,72
15,72
10,72
2,72
12,72
4,72
24,72
4,72
5,72
30,72
12,72
3,71
12,71
10,71
29,71
22,71
10,71
18,71
15,71
2,71
12,71
6,71
6,70
4,70
10,70
3,70
25,70
4,70
18,70
4,70
16,70
10,69
82,69
5,69
10,69
4,69
16,68
6,68
9,68
8,68
8,68
16,68
15,68
6,68
5,68
50,68
2,67
9,67
6,67
8,67
3,67
12,67
4,67
18,67
26,67
3,67
3,67
1,66
11,66
4,66
40,66
4,66
10,66
2,65
1,65
10,65
21,65
32,65
3,65
48,65
32,65
3,65
6,65
16,64
8,64
4,64
10,64
7,64
48,64
6,64
12,64
14,64
4,64
10,64
5,64
21,64
7,64
4,64
16,63
6,63
6,63
10,63
2,63
2,63
16,63
10,63
16,62
16,62
20,62
14,62
3,62
2,61
8,61
8,61
10,61
10,61
32,61
3,61
12,61
4,61
8,61
1,61
1,61
4,61
26,61
10,61
2,61
5,61
8,61
1,61
8,60
10,60
12,60
10,60
2,60
1,60
10,60
42,60
1,60
10,60
16,60
6,59
10,59
4,59
12,59
2,59
25,59
2,59
4,59
3,59
10,59
30,59
80,59
10,59
9,59
10,59
9,59
4,59
4,59
14,58
21,58
1,58
2,58
4,58
2,58
6,58
5,58
6,58
4,58
6,58
3,58
6,58
6,58
1,58
2,58
6,58
12,58
1,58
10,57
4,57
16,57
10,57
2,57
1,57
4,57
2,57
6,57
13,57
2,57
13,57
6,57
30,57
4,57
6,57
8,57
10,57
12,57
2,57
18,57
10,57
18,57
12,57
12,57
6,57
12,57
80,56
1,56
4,56
12,56
57,56
10,56
1,56
8,56
7,56
14,56
12,56
2,56
2,55
4,55
10,55
16,55
4,55
11,55
2,55
2,55
20,55
8,55
28,55
16,55
2,55
1,55
4,55
2,55
4,55
6,55
8,55
1,54
6,54
2,54
12,54
4,54
2,54
8,54
1,54
22,54
6,54
2,54
20,54
6,54
8,54
6,54
4,54
6,54
10,54
6,53
6,53
2,53
20,53
56,53
4,53
10,53
16,53
28,53
2,53
10,53
2,53
6,53
2,53
2,53
4,53
20,53
2,53
28,53
5,53
6,53
5,53
9,53
4,52
2,52
10,52
12,52
2,52
8,52
26,52
5,52
2,52
3,52
3,52
3,52
10,52
26,52
8,52
26,52
20,52
10,52
6,52
50,52
21,52
10,51
14,51
7,51
60,51
10,51
2,51
2,51
20,51
6,51
4,51
16,51
4,51
20,51
10,51
5,51
10,51
8,51
20,51
4,51
16,51
2,51
4,50
12,50
14,50
2,50
8,50
8,50
4,50
6,50
4,50
2,50
2,50
2,50
10,50
6,50
20,50
4,50
8,50
4,50
30,49
2,49
2,49
20,49
12,49
10,49
20,49
2,49
4,49
16,49
12,49
12,49
2,49
3,49
6,49
6,48
6,48
6,48
4,48
2,48
4,48
12,48
14,48
2,48
9,48
15,48
2,48
10,48
20,48
2,48
8,48
6,48
1,48
8,48
14,47
10,47
16,47
5,47
2,47
10,47
3,47
6,47
3,47
15,47
30,47
4,47
6,47
17,47
32,47
3,47
13,47
2,47
8,47
12,47
4,47
4,47
8,47
2,47
4,47
3,47
2,46
6,46
2,46
2,46
2,46
10,46
6,46
20,46
2,46
6,46
2,46
16,46
6,46
2,46
6,46
4,46
1,46
6,46
2,46
18,46
6,46
40,46
2,46
6,46
4,46
2,46
1,46
8,46
2,46
12,45
4,45
30,45
2,45
16,45
6,45
8,45
12,45
10,45
8,45
14,45
14,45
11,45
8,45
1,45
12,45
2,45
4,45
8,45
8,45
2,45
8,45
2,45
2,45
10,45
24,45
16,45
70,45
2,45
12,45
12,45
2,45
24,45
12,45
12,45
19,44
2,44
2,44
26,44
12,44
30,44
8,44
10,44
20,44
2,44
24,44
3,44
8,44
2,44
24,44
4,44
6,44
6,44
40,44
4,44
4,44
6,44
4,44
6,44
12,44
26,44
1,43
9,43
3,43
6,43
6,43
6,43
42,43
2,43
20,43
2,43
6,43
10,43
2,43
4,43
21,43
6,43
5,43
10,43
14,43
10,43
6,43
11,43
12,43
8,43
8,43
4,43
26,43
2,43
3,43
2,43
2,43
12,43
18,43
14,43
11,42
6,42
10,42
2,42
5,42
12,42
2,42
4,42
1,42
30,42
6,42
2,42
4,42
6,42
7,42
6,42
4,42
7,42
10,42
6,42
4,42
6,42
10,42
6,41
6,41
2,41
10,41
4,41
8,41
5,41
2,41
2,41
6,41
15,41
10,41
20,41
8,41
2,41
30,41
8,41
2,41
2,41
4,41
5,41
6,40
5,40
2,40
5,40
4,40
9,40
6,40
21,40
6,40
6,40
1,40
3,40
9,40
8,40
8,40
24,40
3,40
9,40
14,40
6,40
63,40
9,40
35,40
9,40
2,40
3,40
4,40
4,40
2,40
9,40
10,40
4,39
4,39
36,39
30,39
20,39
18,39
7,39
6,39
30,39
40,39
7,39
6,39
28,39
10,39
12,39
7,39
30,39
20,39
2,39
4,39
4,39
6,39
12,39
4,39
19,39
5,39
8,39
36,39
4,39
8,39
8,39
2,39
2,39
2,39
4,39
10,39
2,38
2,38
24,38
3,38
2,38
2,38
8,38
8,38
20,38
7,38
4,38
4,38
8,38
10,38
8,38
2,38
20,38
4,38
4,38
8,38
5,38
34,38
8,38
10,38
4,38
2,38
4,38
8,38
8,38
4,38
6,37
6,37
6,37
8,37
12,37
4,37
6,37
2,37
4,37
18,37
4,37
18,37
4,37
4,37
12,37
4,37
10,37
3,37
3,37
2,37
2,37
6,37
20,37
10,37
2,36
8,36
2,36
18,36
4,36
12,36
8,36
20,36
14,36
25,36
3,36
16,36
8,36
4,36
8,36
2,36
2,36
32,36
20,36
12,36
8,36
20,36
2,36
12,36
16,36
8,36
6,36
8,36
16,36
12,36
4,36
16,36
8,35
2,35
2,35
10,35
4,35
5,35
4,35
9,35
8,35
3,35
18,35
4,35
2,35
28,35
3,35
4,35
10,35
10,35
2,35
12,35
2,35
2,35
3,35
2,35
2,35
26,35
2,35
8,35
30,35
4,35
4,35
4,35
10,35
3,35
8,34
2,34
6,34
4,34
9,34
2,34
4,34
3,34
1,34
8,34
2,34
18,34
18,34
4,34
3,34
6,34
2,34
36,34
23,34
3,34
16,34
1,34
2,34
18,34
6,34
2,34
14,34
2,34
6,34
12,34
18,34
6,34
3,34
4,34
2,34
28,34
16,34
18,34
8,34
4,34
6,34
8,34
8,34
6,33
2,33
1,33
4,33
30,33
15,33
4,33
40,33
2,33
4,33
8,33
10,33
2,33
1,33
2,33
15,33
2,33
10,33
4,33
6,33
9,33
4,33
3,33
3,33
1,33
2,32
6,32
4,32
6,32
4,32
2,32
14,32
2,32
10,32
25,32
6,32
21,32
2,32
10,32
10,32
1,32
10,32
12,32
8,32
10,32
4,32
8,32
14,32
5,32
2,32
19,32
2,32
8,32
10,32
2,32
4,32
24,32
5,32
6,31
4,31
4,31
1,31
8,31
20,31
3,31
30,31
18,31
2,31
8,31
42,31
4,31
10,31
4,31
4,31
4,31
8,31
15,31
12,31
5,31
20,31
4,31
10,31
2,31
10,31
4,31
6,31
6,31
8,30
3,30
2,30
16,30
20,30
4,30
10,30
4,30
2,30
24,30
3,30
4,30
10,30
11,30
2,30
4,30
8,30
2,30
6,30
12,30
2,30
4,30
6,30
6,30
2,30
10,30
3,30
14,30
20,30
4,30
4,30
8,30
2,30
8,30
4,30
1,29
6,29
10,29
10,29
9,29
9,29
4,29
12,29
4,29
8,29
10,29
13,29
2,29
6,29
2,29
8,29
10,29
13,29
1,29
4,29
8,29
6,29
1,29
16,29
2,29
2,29
2,29
10,29
6,29
18,29
1,29
2,29
8,29
15,29
2,29
2,29
7,29
8,29
20,29
18,29
32,29
2,29
2,29
4,29
18,29
10,29
3,29
7,29
4,29
2,29
18,29
10,29
6,28
4,28
4,28
1,28
5,28
6,28
10,28
6,28
6,28
4,28
4,28
2,28
6,28
6,28
3,28
1,28
1,28
18,28
1,28
6,28
1,28
6,28
10,28
6,28
2,28
8,28
8,28
4,28
24,28
4,28
20,28
3,28
8,28
8,28
6,28
12,28
1,28
18,28
4,28
4,28
16,28
7,28
4,28
6,28
2,28
4,28
4,28
6,28
8,28
6,28
1,28
5,28
7,28
8,28
2,28
3,28
10,28
8,28
4,28
2,28
12,28
9,28
4,28
3,28
10,27
24,27
2,27
6,27
3,27
6,27
2,27
12,27
2,27
2,27
4,27
4,27
2,27
30,27
6,27
3,27
9,27
2,27
12,27
4,27
30,27
2,27
2,27
1,27
2,27
3,27
15,27
12,27
3,27
2,27
4,27
4,27
2,27
10,27
12,27
2,27
2,27
4,27
4,27
4,27
6,27
6,27
4,27
10,27
9,27
2,27
30,27
3,27
3,27
2,27
12,27
4,27
2,26
2,26
6,26
6,26
8,26
3,26
3,26
6,26
4,26
6,26
2,26
4,26
2,26
10,26
4,26
2,26
4,26
1,26
6,26
4,26
4,26
12,26
10,26
1,26
7,26
1,26
2,26
6,26
10,26
8,26
16,26
4,26
10,26
3,26
2,26
36,26
29,26
6,26
10,26
10,26
16,26
20,26
3,26
2,26
10,26
8,26
28,26
4,26
10,26
8,26
10,26
12,26
9,26
6,26
4,26
5,26
4,26
5,25
6,25
2,25
2,25
3,25
8,25
10,25
14,25
2,25
2,25
3,25
30,25
2,25
20,25
10,25
10,25
2,25
8,25
6,25
10,25
4,25
9,25
8,25
4,25
2,25
2,25
10,25
4,25
2,25
1,25
30,25
4,25
10,25
10,25
4,25
1,25
2,25
3,25
8,25
3,25
4,25
2,25
10,25
20,25
10,25
20,25
8,25
5,25
6,25
4,25
4,25
6,25
2,25
14,25
4,24
4,24
2,24
2,24
6,24
8,24
6,24
2,24
1,24
2,24
2,24
4,24
6,24
2,24
12,24
4,24
2,24
3,24
10,24
6,24
2,24
2,24
2,24
4,24
10,24
8,24
4,24
4,24
2,24
2,24
2,24
4,24
4,24
5,24
6,24
4,24
3,24
6,24
6,24
3,24
1,24
5,24
4,24
6,24
4,24
4,24
4,24
2,24
10,24
14,24
4,24
1,24
8,24
2,24
6,24
8,24
2,24
1,24
20,24
2,24
2,24
2,24
8,24
5,24
4,24
1,24
16,24
3,24
14,24
10,24
2,24
6,24
6,24
2,24
2,24
4,24
8,24
3,24
2,24
6,23
1,23
3,23
3,23
6,23
6,23
2,23
8,23
12,23
2,23
12,23
10,23
4,23
10,23
18,23
10,23
24,23
1,23
6,23
2,23
13,23
3,23
6,23
8,23
32,23
1,23
2,23
10,23
2,23
20,23
18,23
8,23
9,23
10,23
2,23
10,23
12,23
2,23
20,23
20,23
3,23
2,23
2,23
1,23
2,23
7,23
10,23
16,23
4,23
2,23
10,23
5,23
12,23
4,23
8,23
4,23
40,23
10,23
8,23
1,23
10,23
2,23
1,23
12,23
32,22
4,22
1,22
1,22
1,22
40,22
20,22
4,22
20,22
10,22
3,22
16,22
12,22
8,22
8,22
1,22
2,22
1,22
12,22
4,22
6,22
4,22
4,22
6,22
6,22
6,22
