source,persons,time,nb_articles,avg_tone
ouest-france.fr,joe biden,2021/1,356,-4.110019543626965
ouest-france.fr,donald trump,2021/1,270,-4.4613867283533155
ouest-france.fr,joe biden,2021/2,140,-3.02049126513854
ouest-france.fr,joe biden,2021/3,122,-3.3125973788112018
sudouest.fr,joe biden,2021/1,120,-2.8628189553580436
ouest-france.fr,barack obama,2021/1,101,-5.864921278325308
ouest-france.fr,donald trump,2021/2,100,-3.550247236622194
sudouest.fr,suu kyi,2021/2,95,-4.243890159632581
ouest-france.fr,boris johnson,2021/1,89,-2.609915821898457
ouest-france.fr,julian assange,2021/1,80,-6.620908872216823
sudouest.fr,joe biden,2021/2,74,-4.287684962296082
sudouest.fr,donald trump,2021/1,66,-2.3334720694173754
ouest-france.fr,boris johnson,2021/3,65,-2.9150132891192397
sudouest.fr,suu kyi,2021/3,61,-6.911758916199235
ouest-france.fr,vladimir putin,2021/2,60,-3.3433198452007846
ouest-france.fr,suu kyi,2021/2,60,-3.5956327030196693
ouest-france.fr,josep borrell,2021/2,59,-3.6691900372499395
sudouest.fr,nicolas sarkozy,2021/3,59,-3.9476292820215306
ouest-france.fr,lold bailey,2021/1,57,-6.895107474858573
ouest-france.fr,nicolas sarkozy,2021/3,50,-3.11478869162019
ouest-france.fr,nancy pelosi,2021/1,46,-3.7918221023961367
ouest-france.fr,prince harry,2021/3,45,-1.2918009398884418
sudouest.fr,donald trump,2021/2,44,-4.485660877137262
ouest-france.fr,oprah winfrey,2021/3,43,-1.6531714147146501
ouest-france.fr,jens stoltenberg,2021/1,42,-3.628369006814217
sudouest.fr,prince harry,2021/3,42,-2.126385508948297
ouest-france.fr,kristinn hrafnsson,2021/1,40,-6.173533929700907
ouest-france.fr,meghan markle,2021/3,39,-1.9016595224370594
sudouest.fr,barack obama,2021/1,37,-3.5003942464650923
sudouest.fr,meghan markle,2021/3,37,-1.462381455476957
ouest-france.fr,moustafa al-kazimi,2021/3,37,-0.30567232417240947
sudouest.fr,scott morrison,2021/1,36,-5.765916617765096
ouest-france.fr,suu kyi,2021/3,36,-6.500382441103934
ouest-france.fr,michael kopelman,2021/1,35,-7.366984993178719
ouest-france.fr,david schoen,2021/2,35,-5.815019304702745
ouest-france.fr,annick girardin,2021/1,35,0.9316832638619776
ouest-france.fr,mohammad javad zarif,2021/2,33,-0.34534235668789803
sudouest.fr,htin kyaw,2021/2,32,-2.6254209774354593
sudouest.fr,suu ky,2021/2,32,-2.6254209774354593
ouest-france.fr,ali sistani,2021/3,32,-0.8422020362763367
sudouest.fr,aung san,2021/2,32,-2.6254209774354593
sudouest.fr,julian assange,2021/1,31,-6.038435793012882
ouest-france.fr,mitch mcconnell,2021/1,30,-1.8673458647690175
ouest-france.fr,adam kinzinger,2021/1,30,-4.268816237809438
ouest-france.fr,josep borrell,2021/1,30,-3.8746864867215107
ouest-france.fr,ali al-sistani,2021/3,29,0.8178655732250535
sudouest.fr,angela merkel,2021/1,29,-1.7962334129661166
sudouest.fr,vladimir putin,2021/2,28,-7.17213958700554
ouest-france.fr,angela merkel,2021/1,27,-1.2279131541117476
sudouest.fr,vladimir putin,2021/3,27,-7.474560573350864
ouest-france.fr,antony blinken,2021/3,27,-1.4654916642319582
ouest-france.fr,wikileaks julian assange,2021/1,27,-5.928278856805101
sudouest.fr,micheal maarten,2021/1,26,-3.361475076734446
sudouest.fr,boris johnson,2021/1,26,-3.318222366715342
sudouest.fr,josep borrell,2021/2,26,-7.313823671670632
sudouest.fr,oprah winfrey,2021/3,25,-1.835212679830186
sudouest.fr,joe biden,2021/3,25,-4.636216657261379
ouest-france.fr,bruce beaver,2021/2,24,-4.069871781203582
ouest-france.fr,melih bulu,2021/2,24,-4.144003174298343
ouest-france.fr,ralph northam,2021/1,24,-2.8936328943740457
ouest-france.fr,angela merkel,2021/2,24,-2.9782727090163665
ouest-france.fr,tayyip erdogan,2021/2,24,-4.144003174298343
ouest-france.fr,betsy devos,2021/1,24,-4.397285119396186
ouest-france.fr,viktor orban,2021/3,24,-2.131119089801097
ouest-france.fr,ali al sistani,2021/3,23,1.1419222382949525
ouest-france.fr,pascal gollnisch,2021/3,23,1.1419222382949525
ouest-france.fr,mark rutte,2021/1,23,-3.7714294570005005
sudouest.fr,angela merkel,2021/2,23,-5.671009175016283
sudouest.fr,antonio guterres,2021/2,23,-5.030701879677771
ouest-france.fr,hamid assem,2021/2,22,-0.127388535031847
ouest-france.fr,alexis tsipras,2021/2,22,-4.0335497632307815
ouest-france.fr,chuck schumer,2021/2,22,-4.5499593774796345
sudouest.fr,imad al-tumayzi,2021/2,22,-1.74418604651163
ouest-france.fr,donald trump,2021/3,22,-1.077575783624788
sudouest.fr,gaza gaza,2021/2,22,-1.74418604651163
ouest-france.fr,ahmed al tayeb,2021/3,21,1.37174211248285
ouest-france.fr,cardinal sako,2021/3,21,1.37174211248285
ouest-france.fr,viktor orban,2021/1,21,-4.1552464887450435
ouest-france.fr,abu dhabi,2021/3,21,1.37174211248285
ouest-france.fr,catholic chaldeans,2021/3,21,1.37174211248285
ouest-france.fr,sunni al azhar,2021/3,21,1.37174211248285
sudouest.fr,antony blinken,2021/2,21,-4.402204727122828
ouest-france.fr,jason miller,2021/2,20,-3.4399017709721513
sudouest.fr,antonio guterres,2021/1,19,-2.982057346548745
sudouest.fr,thinzar shunlei yi,2021/3,19,-6.578093236987306
ouest-france.fr,heiko maas,2021/1,19,-4.41988950276243
ouest-france.fr,nancy pelosi,2021/2,19,-7.096664340578288
sudouest.fr,sidney jones,2021/1,19,-7.785467128027679
ouest-france.fr,chuck schumer,2021/1,19,-2.7348921912177464
ouest-france.fr,scott morrison,2021/1,19,-4.41988950276243
ouest-france.fr,erna solberg,2021/1,19,-4.41988950276243
sudouest.fr,islamist hamas,2021/2,19,-2.0
sudouest.fr,sergio mattarella,2021/3,19,-6.868022232510347
sudouest.fr,abu bakar bachir,2021/1,19,-7.785467128027679
sudouest.fr,mahmoud abbas,2021/2,19,-2.0
sudouest.fr,jemaah islamiyah,2021/1,19,-7.785467128027679
sudouest.fr,thiolina ferawati,2021/1,19,-7.785467128027679
ouest-france.fr,kyriakos mitsotakis,2021/2,19,-3.1747242487133005
ouest-france.fr,jaroslaw kaczynski,2021/3,19,-1.3761504292224387
ouest-france.fr,micheal maarten,2021/1,19,-4.41988950276243
ouest-france.fr,dominic raab,2021/1,19,-4.41988950276243
sudouest.fr,tayyip erdogan,2021/3,19,-7.771936646794468
ouest-france.fr,mounir satouri,2021/3,19,-3.31945063247002
ouest-france.fr,olaf scholz,2021/1,19,-4.41988950276243
ouest-france.fr,jamie raskin,2021/2,19,-3.5941764774114224
ouest-france.fr,george bush,2021/1,19,-4.41988950276243
ouest-france.fr,justin trudeau,2021/1,19,-4.41988950276243
ouest-france.fr,sylvie guillaume,2021/3,19,-3.31945063247002
ouest-france.fr,viktor orban,2021/2,18,-4.257639563762014
sudouest.fr,hatice cengiz,2021/3,18,-3.24324324324324
sudouest.fr,jamal khashoggi,2021/3,18,-3.24324324324324
sudouest.fr,arabia mohammed,2021/3,18,-3.24324324324324
ouest-france.fr,raphael warnock,2021/1,18,-0.036442500144306715
sudouest.fr,kelly loeffler,2021/1,18,-0.3497730566477497
ouest-france.fr,larry hogan,2021/1,18,-4.3897357281896054
ouest-france.fr,lindsey graham,2021/2,17,-3.29218106995885
sudouest.fr,olaf scholz,2021/1,17,-3.50877192982456
ouest-france.fr,david schoen bruce,2021/2,17,-3.29218106995885
ouest-france.fr,kelly loeffler,2021/1,17,-0.8842751161579541
sudouest.fr,jens stoltenberg,2021/1,17,-3.50877192982456
ouest-france.fr,los angeles,2021/3,17,-4.932221770828738
sudouest.fr,george floyd,2021/3,17,-5.6672198691438735
sudouest.fr,justin trudeau,2021/1,17,-3.50877192982456
sudouest.fr,mark rutte,2021/1,17,-3.50877192982456
ouest-france.fr,kevin feige,2021/1,17,-4.58715596330275
sudouest.fr,dominic raab,2021/1,17,-3.50877192982456
sudouest.fr,josep borrell,2021/1,17,-3.50877192982456
sudouest.fr,heiko maas,2021/1,17,-3.50877192982456
sudouest.fr,suissesse christine schraner,2021/3,17,-6.4639124964695585
sudouest.fr,stephane dujarric,2021/1,17,-3.50877192982456
sudouest.fr,abdelmajid tebboune,2021/1,17,-1.68067226890756
sudouest.fr,josh hawley,2021/1,17,-3.9223583224277982
sudouest.fr,ted cruz,2021/1,17,-3.9223583224277982
sudouest.fr,pedro sanchez,2021/1,17,-3.50877192982456
ouest-france.fr,david campbell,2021/3,17,-2.27790432801822
ouest-france.fr,george floyd,2021/3,17,-5.408043208626125
sudouest.fr,mitch mcconnell,2021/1,16,-1.832333518095711
ouest-france.fr,mazarine pingeot,2021/1,16,-0.608166811468288
ouest-france.fr,bernard cazeneuve,2021/1,16,-0.608166811468288
ouest-france.fr,jack lang,2021/1,16,-0.608166811468288
sudouest.fr,win myint,2021/2,16,-5.538468813796451
sudouest.fr,win myint,2021/3,16,-6.32911392405063
ouest-france.fr,amrullah saleh,2021/3,16,-2.67229254571027
ouest-france.fr,gabriel attal,2021/2,16,-1.547438177574317
sudouest.fr,vladimir putin,2021/1,16,-2.33333333333333
